Day,Italy (Daily confirmed cases),Italy (Total confirmed cases),Germany (Daily confirmed cases),Germany (Total confirmed cases),South Korea (Daily confirmed cases),South Korea (Total confirmed cases),U.S. (Daily confirmed cases),U.S. (Total confirmed cases),Colombia (Daily confirmed cases),Colombia (Total confirmed cases),,,Day (200 total cases),Italy (Daily confirmed cases),Italy (Total confirmed cases),Germany (Daily confirmed cases),Germany (Total confirmed cases),South Korea (Daily confirmed cases),South Korea (Total confirmed cases),U.S. (Daily confirmed cases),U.S. (Total confirmed cases),Colombia (Daily confirmed cases),Colombia (Total confirmed cases)
1,3,3,1,1,1,1,1,1,1,1,,,1,97,229,66,262,190,345,74,233,81,277
2,0,3,3,4,0,1,0,1,0,1,,,2,93,322,138,400,256,601,105,338,29,306
3,0,3,0,4,0,1,0,1,0,1,,,3,78,400,284,684,161,762,95,433,72,378
4,0,3,1,5,0,1,0,1,2,3,,,4,250,650,163,847,130,892,121,554,92,470
5,0,3,2,7,1,2,1,2,0,3,,,5,238,888,55,902,254,1146,200,754,21,491
6,0,3,1,8,0,2,0,2,6,9,,,6,240,1128,237,1139,449,1595,271,1025,48,539
7,0,3,1,9,1,3,3,5,4,13,,,7,561,1689,157,1296,427,2022,287,1312,69,608
8,0,3,2,11,1,4,0,5,3,16,,,8,347,2036,271,1567,909,2931,351,1663,94,702
9,0,3,0,11,0,4,0,5,8,24,,,9,466,2502,802,2369,595,3526,511,2174,96,798
10,0,3,0,11,0,4,0,5,21,45,,,10,587,3089,693,3062,686,4212,777,2951,108,906
11,0,3,1,12,0,4,1,6,12,57,,,11,769,3858,733,3795,600,4812,823,3774,159,1065
12,0,3,1,13,3,7,1,7,18,75,,,12,778,4636,1043,4838,516,5328,887,4661,96,1161
13,0,3,0,13,5,12,1,8,27,102,,,13,1247,5883,1174,6012,438,5766,1766,6427,106,1267
14,0,3,0,13,3,15,3,11,26,128,,,14,1492,7375,1144,7156,518,6284,2988,9415,139,1406
15,0,3,0,13,0,15,0,11,47,175,,,15,1797,9172,1042,8198,483,6767,4835,14250,79,1485
16,0,3,2,15,1,16,0,11,21,196,,,16,977,10149,5940,14138,367,7134,5374,19624,94,1579
17,0,3,0,15,2,18,1,12,81,277,,,17,2313,12462,4049,18187,248,7382,7123,26747,201,1780
18,0,3,0,15,5,23,0,12,29,306,,,18,2651,15113,3276,21463,131,7513,8459,35206,274,2054
19,0,3,0,15,1,24,0,12,72,378,,,19,2547,17660,3311,24774,242,7755,11236,46442,,
20,0,3,0,15,0,24,0,12,92,470,,,20,3497,21157,4438,29212,114,7869,8789,55231,,
21,0,3,0,15,1,25,0,12,21,491,,,21,2823,23980,2342,31554,110,7979,13963,69194,,
22,0,3,0,15,2,27,1,13,48,539,,,22,4000,27980,4954,36508,107,8086,16797,85991,,
23,14,17,0,15,1,28,0,13,69,608,,,23,3526,31506,5780,42288,76,8162,18695,104686,,
24,62,79,0,15,0,28,1,14,94,702,,,24,4207,35713,6294,48582,74,8236,19979,124665,,
25,53,132,0,15,0,28,1,15,96,798,,,25,5322,41035,3965,52547,84,8320,18360,143025,,
26,97,229,0,15,0,28,0,15,108,906,,,26,5986,47021,4751,57298,93,8413,21595,164620,,
27,93,322,0,15,0,28,0,15,159,1065,,,27,6557,53578,4615,61913,152,8565,24998,189618,,
28,78,400,0,15,1,29,0,15,96,1161,,,28,5560,59138,5453,67366,87,8652,27103,216721,,
29,250,650,0,15,1,30,0,15,106,1267,,,29,4789,63927,6156,73522,147,8799,28819,245540,,
30,238,888,2,17,1,31,0,15,139,1406,,,30,5249,69176,6174,79696,98,8897,32425,277965,,
31,240,1128,4,21,15,46,0,15,79,1485,,,31,5210,74386,6082,85778,64,8961,34272,312237,,
32,561,1689,26,47,34,80,1,16,94,1579,,,32,6153,80539,5936,91714,76,9037,25398,337635,,
33,347,2036,10,57,75,155,19,35,201,1780,,,33,5959,86498,3677,95391,100,9137,30561,368196,,
34,466,2502,54,111,190,345,0,35,274,2054,,,34,5974,92472,3834,99225,104,9241,30613,398809,,
35,587,3089,18,129,256,601,0,35,,,,,35,5217,97689,4003,103228,91,9332,33323,432132,,
36,769,3858,28,157,161,762,18,53,,,,,36,4050,101739,4974,108202,146,9478,,,,
37,778,4636,39,196,130,892,0,53,,,,,37,4053,105792,,,105,9583,,,,
38,1247,5883,66,262,254,1146,6,59,,,,,38,4782,110574,,,78,9661,,,,
39,1492,7375,138,400,449,1595,1,60,,,,,39,4668,115242,,,125,9786,,,,
40,1797,9172,284,684,427,2022,6,66,,,,,40,4585,119827,,,0,9786,,,,
41,977,10149,163,847,909,2931,3,69,,,,,41,4805,124632,,,190,9976,,,,
42,2313,12462,55,902,595,3526,20,89,,,,,42,4316,128948,,,86,10062,,,,
43,2651,15113,237,1139,686,4212,14,103,,,,,43,3599,132547,,,94,10156,,,,
44,2547,17660,157,1296,600,4812,22,125,,,,,44,3039,135586,,,81,10237,,,,
45,3497,21157,271,1567,516,5328,34,159,,,,,45,3836,139422,,,47,10284,,,,
46,2823,23980,802,2369,438,5766,74,233,,,,,46,,,,,47,10331,,,,
47,4000,27980,693,3062,518,6284,105,338,,,,,47,,,,,53,10384,,,,
48,3526,31506,733,3795,483,6767,95,433,,,,,48,,,,,39,10423,,,,
49,4207,35713,1043,4838,367,7134,121,554,,,,,49,,,,,,,,,,
50,5322,41035,1174,6012,248,7382,200,754,,,,,50,,,,,,,,,,
51,5986,47021,1144,7156,131,7513,271,1025,,,,,51,,,,,,,,,,
52,6557,53578,1042,8198,242,7755,287,1312,,,,,52,,,,,,,,,,
53,5560,59138,5940,14138,114,7869,351,1663,,,,,53,,,,,,,,,,
54,4789,63927,4049,18187,110,7979,511,2174,,,,,54,,,,,,,,,,
55,5249,69176,3276,21463,107,8086,777,2951,,,,,55,,,,,,,,,,
56,5210,74386,3311,24774,76,8162,823,3774,,,,,56,,,,,,,,,,
57,6153,80539,4438,29212,74,8236,887,4661,,,,,57,,,,,,,,,,
58,5959,86498,2342,31554,84,8320,1766,6427,,,,,58,,,,,,,,,,
59,5974,92472,4954,36508,93,8413,2988,9415,,,,,59,,,,,,,,,,
60,5217,97689,5780,42288,152,8565,4835,14250,,,,,60,,,,,,,,,,
61,4050,101739,6294,48582,87,8652,5374,19624,,,,,61,,,,,,,,,,
62,4053,105792,3965,52547,147,8799,7123,26747,,,,,62,,,,,,,,,,
63,4782,110574,4751,57298,98,8897,8459,35206,,,,,63,,,,,,,,,,
64,4668,115242,4615,61913,64,8961,11236,46442,,,,,64,,,,,,,,,,
65,4585,119827,5453,67366,76,9037,8789,55231,,,,,65,,,,,,,,,,
66,4805,124632,6156,73522,100,9137,13963,69194,,,,,66,,,,,,,,,,
67,4316,128948,6174,79696,104,9241,16797,85991,,,,,67,,,,,,,,,,
68,3599,132547,6082,85778,91,9332,18695,104686,,,,,68,,,,,,,,,,
69,3039,135586,5936,91714,146,9478,19979,124665,,,,,69,,,,,,,,,,
70,3836,139422,3677,95391,105,9583,18360,143025,,,,,70,,,,,,,,,,
71,,,3834,99225,78,9661,21595,164620,,,,,71,,,,,,,,,,
72,,,4003,103228,125,9786,24998,189618,,,,,72,,,,,,,,,,
73,,,4974,108202,0,9786,27103,216721,,,,,73,,,,,,,,,,
74,,,,,190,9976,28819,245540,,,,,74,,,,,,,,,,
75,,,,,86,10062,32425,277965,,,,,75,,,,,,,,,,
76,,,,,94,10156,34272,312237,,,,,76,,,,,,,,,,
77,,,,,81,10237,25398,337635,,,,,77,,,,,,,,,,
78,,,,,47,10284,30561,368196,,,,,78,,,,,,,,,,
79,,,,,47,10331,30613,398809,,,,,79,,,,,,,,,,
80,,,,,53,10384,33323,432132,,,,,80,,,,,,,,,,
81,,,,,39,10423,,,,,,,81,,,,,,,,,,